nd,number,date,organ,year,basin,species,area,quota_type,legal_name,inn,share_pct,volume_tons,contract_no,contract_date_start,contract_date_end
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО «ЛАГУНА РРР»,3004009546,,3.706,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО «МИВ»,3004005238,,0.403,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО «МИВ»,3004005238,,0.005,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО «МИВ»,3004005238,,0.32,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО «МИВ»,3004005238,,0.042,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО «НЕПТУН»,0531010825,,0.049,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО «НЕПТУН-2000»,0561044998,,0.085,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО «НИЯРО»,0534029253,,0.194,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО «НОВОКОСИНСКИЙ РЫБОКОМБИНАТ»,0505009076,,0.272,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО «ОАЗИС»,0531005053,,0.062,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО «ОРАНЖЕРЕИНСКИЕ ДЕЛИКАТЕСЫ»,3004008831,,2.858,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО ПКФ «БЕРКУТ»,3004005679,,4.395,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО ПКФ «БЕРКУТ»,3004005679,,0.494,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО ПКФ «БЕРКУТ»,3004005679,,0.01,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО «ПКФ «ВОЛЖСКИЙ ПРОСТОР»,3017028923,,0.306,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО ПКФ «КАСПРЫБФЛОТ-3»,3005006918,,1.384,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО «ПОБЕДА КАСПИЯ-Т»,0547005411,,0.023,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО «ПРИБОЙ»,0517011496,,0.091,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО «ПРОГРЕСС»,0531006145,,0.077,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО РДК «ДЕЛЬТА-ПЛЮС»,3019015408,,2.528,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО «Р/К ТРУЖЕНИК МОРЯ»,0531005141,,0.487,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО «РПК КАСПИЙ»,0505010770,,0.07,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО «РПЦ «КИРОВСКИЙ»,3023010709,,3.03,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО «РПЦ «КИРОВСКИЙ»,3023010709,,0.153,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО СПК «КИРОВСКИЙ РЫБОЗАВОД»,3023001180,,6.059,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО «СТАРАЯ ВОЛГА»,3025027391,,0.726,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО СХП «ПОНИЗОВЬЕ МДЦ»,3007000990,,4.151,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО «ТАЛОВКА»,0531005261,,0.104,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО «ТЕРЕК»,0517007771,,2.342,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО «ТРАВИНСКАЯ-1»,3019023286,,0.318,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО «ТУРАЛИ - КАСПИЙ»,0562049727,,0.265,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО «ФРЕД»,3005005110,,0.636,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО «ХОЛОДИЛЬНИК ВОЛОДАРСКИЙ»,3019007767,,2.243,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО «ЧЕРНОБЫЛЬ»,0517000230,,0.17,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО «ШТОРМ»,3019026872,,0.013,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО «ШТОРМ»,3019026872,,0.23,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ООО «ЮГ-2020»,3019030942,,2.01,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,«ПРИБОЙ» РСХА,0531004740,,0.104,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ПСК «РА «СТРЕЖЕНЬ»,3002005049,,2.325,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,Р.А. «ДЕЛЬТА»,3006006477,,0.089,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,Р.А. «ДЕЛЬТА»,3006006477,,1.388,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,Р.А. «ДЕЛЬТА»,3006006477,,0.466,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,РА «РАДУГА»,3002004542,,0.342,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,РА «ЧЕЛЮСКИНЕЦ»,3002004824,,1.619,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,Р.К. «АСТРАХАНЕЦ»,3002005000,,4.043,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,Р/К ИМЕНИ ХХ ПАРТСЪЕЗДА,3002000523,,6.175,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,РПКК «ВОЛНА РЕВОЛЮЦИИ»,0517001843,,0.031,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,РПКК «ЗАВЕТЫ ИЛЬИЧА»,0517004178,,1.526,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,РЫБОЛОВЕЦКИЙ КОЛХОЗ ИМЕНИ В.И.ЛЕНИНА,3004000374,,3.706,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,РЫБОЛОВЕЦКИЙ КОЛХОЗ «ЛОТОС»,3005000377,,0.998,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,РЫБОЛОВЕЦКИЙ КОЛХОЗ «ПОБЕДА»,3002004920,,2.543,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,«СОЮЗ - ЧЕРНОБЫЛЬ» ООО,0531005293,,0.048,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,СПК «ПОСЕЙДОН»,0531012029,,0.31,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,СПК «РОДИНА»,3005006435,,0.881,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,СПРК «БЕШТУГ»,3002005320,,0.163,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Лещ,,Промышленная,ФСПМСБ,0803002894,,2.023,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,АО «АСТРАХАНЬ-РЫБА»,3002005120,,2.938,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,АО «КРАЙНОВСКИЙ РЫБОКОМБИНАТ»,0517008670,,0.982,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,АО РК «ГЛАВСУЛАК»,0541001837,,0.482,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,АРТЕЛЬ «МАЯК»,3007007610,,0.321,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,АРТЕЛЬ «ПУТЬ РЫБАКА»,0531000312,,1.695,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,АССОЦИАЦИЯ РПП РК,0814151023,,2.48,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,ГКФХ Мустафаев Мурад Насрулаевич,054703336170,,0.308,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,ЗАО «МТС-СЕЛЬХОЗТЕХНИКА»,0531003440,,0.922,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,ИП Абдулбеков Магомедсалам Ибрагимович,052100473648,,0.13,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,ИП Богатов Михаил Александрович,080300003099,,3.988,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,ИП Воронцов Юрий Михайлович,300700031002,,0.063,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,ИП Магомедов Магомедрасул Магомедович,054777944623,,0.272,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,НП ООО «КАСПИЙ»,3019009490,,0.734,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,ООО «АГАТ»,0813006584,,1.938,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,ООО «АКВАКУЛЬТУРА»,0560033030,,0.49,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,ООО «АМП»,3000008245,,2.2,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,ООО «АМП»,3000008245,,0.147,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,ООО «АСТРА-ФИШ ХАУЗ»,3025036928,,0.878,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,ООО «БАРРАКУДА»,0547005429,,0.551,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,ООО «БРЯНСК»,0517000215,,0.259,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,ООО «БРЯНСКИЙ РЫБЗАВОД»,0517009137,,0.336,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,ООО «ВИРА»,3019029513,,0.629,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,ООО «ВОЛОДАРСКИЙ РЫБНЫЙ ПРОМЫСЕЛ»,3019015550,,1.037,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,ООО «ГУНИБ»,0517009419,,0.731,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,ООО «ЖЕМЧУГ»,0517010171,,0.228,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,ООО «ЗУФАР»,3019015398,,1.471,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,ООО «ЗУФАР»,3019015398,,2.303,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,ООО «ИГОЛКИНСКИЙ РЫБПРОМ»,3019021722,,0.503,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,ООО ИМ. «ИМАМА ШАМИЛЯ»,0531004211,,1.59,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,ООО «КАЛМРЫБХОЗ»,0803003464,,0.996,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,ООО «КАСПИЙ»,0813006062,,4.806,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,ООО «КАСПИЙРЫБПРОМ»,3015057990,,1.325,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,ООО «КОЧУБЕЙ-ХЪАЛА»,0531011730,,0.272,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,ООО «ЛАГУНА РРР»,3004009546,,0.541,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,ООО «МИВ»,3004005238,,0.059,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,ООО «МИВ»,3004005238,,0.003,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,ООО «МИВ»,3004005238,,0.047,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,ООО «НЕПТУН»,0531010825,,0.633,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,ООО «НЕПТУН-2000»,0561044998,,0.071,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,ООО «НИЯРО»,0534029253,,0.381,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,ООО «НОВОКОСИНСКИЙ РЫБОКОМБИНАТ»,0505009076,,0.802,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,ООО «ОАЗИС»,0531005053,,0.602,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,ООО «ОРАНЖЕРЕИНСКИЕ ДЕЛИКАТЕСЫ»,3004008831,,2.053,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,ООО ПКФ «БЕРКУТ»,3004005679,,1.265,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,ООО ПКФ «БЕРКУТ»,3004005679,,0.015,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,ООО ПКФ «БЕРКУТ»,3004005679,,0.023,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,ООО «ПКФ «ВОЛЖСКИЙ ПРОСТОР»,3017028923,,2.855,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,ООО ПКФ «КАСПРЫБФЛОТ-3»,3005006918,,0.245,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,ООО «ПОБЕДА КАСПИЯ-Т»,0547005411,,0.811,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,ООО «ПРИБОЙ»,0517011496,,0.72,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,ООО «ПРОГРЕСС»,0531006145,,0.892,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,ООО РДК «ДЕЛЬТА-ПЛЮС»,3019015408,,2.303,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,ООО «Р/К ТРУЖЕНИК МОРЯ»,0531005141,,0.914,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,ООО «РПК КАСПИЙ»,0505010770,,0.651,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,ООО «РПЦ «КИРОВСКИЙ»,3023010709,,2.492,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,ООО «РПЦ «КИРОВСКИЙ»,3023010709,,0.425,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,ООО «РЫБАК»,0547013050,,1.007,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,ООО «РЫБАК»,3000013904,,1.106,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,ООО «РЫБАК»,0531006240,,0.13,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,ООО СПК «КИРОВСКИЙ РЫБОЗАВОД»,3023001180,,1.873,,,
,,,calculations.fish.gov.ru,2026,Волжско-Каспийский рыбохозяйственный бассейн,Сазан,,Промышленная,ООО «СТАРАЯ ВОЛГА»,3025027391,,0.072,,,
