Группа_Компаний,Юр_Лицо,ИНН,Комментарий,Контакты_ListOrg,Директор_ListOrg,ListOrg_URL
ГК Гидрострой,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРЕОБРАЖЕНСКАЯ БАЗА ТРАЛОВОГО ФЛОТА""",2518000814,Преображенская база тралового флота,"Адрес: 692998, Приморский край, Лазовский р-н, пгт Преображение, ул Портовая, д 1",Налабордин Сергей Иванович,
ГК Гидрострой ПБТФ,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВОСХОД""",2518001230,,"Адрес: 692998, Приморский край, Лазовский р-н, пгт Преображение, ул Портовая, д 1",Еремеев Сергей Мстиславович,
Группа Триера,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВЕЛЕС-СНЕК""",2521015225,,"Адрес: 692481, Приморский край, Надеждинский р-н, тер ТОР Надеждинская (с Вольно-Надеждинское)",Мячин Олег Владимирович,
ГК РРПК,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУССКАЯ РЫБОПРОМЫШЛЕННАЯ КОМПАНИЯ""",7731414433,Управляющая компания,"Адрес: 690001, Приморский край, г Владивосток, Ленинский р-н, ул Пушкинская, д 87, офис 7А",Глобенко Константин Владимирович,https://russianfishery.ru/
ГК РРПК,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУССКИЙ МИНТАЙ""",2521015391,,"Адрес: 692481, Приморский край, Надеждинский р-н, тер ТОР Надеждинская (с Вольно-Надеждинское)","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУССКАЯ РЫБОПРОМЫШЛЕННАЯ КОМПАНИЯ""",
ГК РРПК,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТИХООКЕАНСКОЕ УПРАВЛЕНИЕ ПРОМЫСЛОВОЙ РАЗВЕДКИ И НАУЧНО-ИССЛЕДОВАТЕЛЬСКОГО ФЛОТА""",2536053382,,"Адрес: 690001, Приморский край, г Владивосток, Ленинский р-н, ул Пушкинская, д 87","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУССКАЯ РЫБОПРОМЫШЛЕННАЯ КОМПАНИЯ""",
ГК Норебо,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОЛИЗ""",2536247860,,"Адрес: 683016, Камчатский край, г Петропавловск-Камчатский, ул Мишенная, д 131, офис 24",Лысенко Сергей Алексеевич,
Группа Триера,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЧУКОТКА""",2536283146,,"Адрес: 689000, Чукотский АО, г Анадырь, ул Полярная, зд 6А",Мячин Олег Владимирович,
ГК РРПК,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОВЫЙ СЕЙВАЛ""",2536306467,,"Адрес: 690001, Приморский край, г Владивосток, Ленинский р-н, ул Пушкинская, д 87, офис 13","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУССКАЯ РЫБОПРОМЫШЛЕННАЯ КОМПАНИЯ""",
ГК РРПК,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИНТАЙ ПЕРВЫЙ""",2536306523,,"Адрес: 690001, Приморский край, г Владивосток, Ленинский р-н, ул Пушкинская, д 87, офис 15","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУССКАЯ РЫБОПРОМЫШЛЕННАЯ КОМПАНИЯ""",
ГК РРПК,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОВОСТРОЙ""",2536306530,,"Адрес: 690001, Приморский край, г Владивосток, Ленинский р-н, ул Пушкинская, д 87, офис 8","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУССКАЯ РЫБОПРОМЫШЛЕННАЯ КОМПАНИЯ""",https://www.audit-it.ru/contragent/1172536038146_ooo-novostroy
ГК РРПК,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РРПК ВОСТОК""",2536306555,,"Адрес: 690001, Приморский край, г Владивосток, Ленинский р-н, ул Пушкинская, д 87, офис 10","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУССКАЯ РЫБОПРОМЫШЛЕННАЯ КОМПАНИЯ""",https://www.audit-it.ru/contragent/1172536038223_ooo-rrpk-vostok
ГК РРПК,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АТЛАНТИК КРАБ""",2536312196,Краб,"Адрес: 690066, Приморский край, г Владивосток, Ленинский р-н, ул Шилкинская, д 7Б, офис 3","АКЦИОНЕРНОЕ ОБЩЕСТВО ""РУССКИЙ КРАБ""",
ГК РРПК,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАМЧАТКА КРАБ""",2536312206,Краб,"Адрес: 690066, Приморский край, г Владивосток, Ленинский р-н, ул Шилкинская, д 7Б, офис 4","АКЦИОНЕРНОЕ ОБЩЕСТВО ""РУССКИЙ КРАБ""",https://www.audit-it.ru/contragent/1182536028564_ooo-kamchatka-krab
ГК РРПК,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАСИФИК КРАБ""",2536312213,Краб,"Адрес: 690066, Приморский край, г Владивосток, Ленинский р-н, ул Шилкинская, д 7Б, офис 2","АКЦИОНЕРНОЕ ОБЩЕСТВО ""РУССКИЙ КРАБ""",https://www.audit-it.ru/contragent/1182536028575_ooo-pasifik-krab
ГК РРПК,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДАЛЬНЕВОСТОЧНЫЙ КРАБ""",2536319762,Краб,"Адрес: 690066, Приморский край, г Владивосток, Ленинский р-н, ул Шилкинская, д 7Б, офис 9","АКЦИОНЕРНОЕ ОБЩЕСТВО ""РУССКИЙ КРАБ""",https://www.audit-it.ru/contragent/1192536029377_ooo-dalnevostochnyy-krab
ГК РРПК,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""В-КРАБ""",2536324554,Краб,"Адрес: 690066, Приморский край, г Владивосток, Ленинский р-н, ул Шилкинская, д 7Б, офис 5","АКЦИОНЕРНОЕ ОБЩЕСТВО ""РУССКИЙ КРАБ""",https://www.audit-it.ru/contragent/1202500018423_ooo-v-krab
ГК РРПК,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""П-КРАБ""",2536324579,Краб,"Адрес: 690066, Приморский край, г Владивосток, Ленинский р-н, ул Шилкинская, д 7Б, офис 7","АКЦИОНЕРНОЕ ОБЩЕСТВО ""РУССКИЙ КРАБ""",
ГК РРПК,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВЛАДКРАБ""",2536334993,Краб,"Адрес: 690066, ПРИМОРСКИЙ КРАЙ, Г.О. ВЛАДИВОСТОКСКИЙ, Г. ВЛАДИВОСТОК, УЛ. ШИЛКИНСКАЯ, ЗД. 7Б, ОФИС 12","АКЦИОНЕРНОЕ ОБЩЕСТВО ""РУССКИЙ КРАБ""",
ГК РРПК,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БЕРИНГ КРАБ""",2536335002,Краб,"Адрес: 690066, ПРИМОРСКИЙ КРАЙ, Г.О. ВЛАДИВОСТОКСКИЙ, Г ВЛАДИВОСТОК, УЛ ШИЛКИНСКАЯ, ЗД. 7Б, ОФИС 11",Горячев Сергей Станиславович,
ГК УТРФ,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОРСКОЙ БРИЗ 2""",2536337024,,"Адрес: 183038, Мурманская обл, г Мурманск, ул Шмидта, д 43, офис 402",Старков Денис Алексеевич,
ГК Океанрыбфлот,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕЛЬДЬ-Д""",2536341912,,"Адрес: 683003, Камчатский край, г Петропавловск-Камчатский, ул Ленинградская, д 27, офис 305",Новоселов Евгений Аликович,
ГК Океанрыбфлот,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕЛЬДЬ-В""",2536341920,,"Адрес: 683003, Камчатский край, г Петропавловск-Камчатский, ул Ленинградская, д 27, офис 706/1",Новоселов Евгений Аликович,
ГК РРПК,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИНТАЙ-Т""",2536347343,,"Адрес: 683042, Камчатский край, г Петропавловск-Камчатский, ул Ларина, д 16, кв 39",Тарусов Сергей Борисович,
ГК РРПК,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИНТАЙ-В""",2536347350,,"Адрес: 683042, Камчатский край, г Петропавловск-Камчатский, ул Ларина, д 16, кв 39",Тарусов Сергей Борисович,
Сигма-Марин,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕЛЬДЬ-ВРП""",2536347368,,"Адрес: 680038, Хабаровский край, г Хабаровск, ул Серышева, д 34, офис 19/2",Рекасов Владимир Васильевич,https://www.audit-it.ru/contragent/1242700018912_ooo-seld-vrp
ГК РРПК,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИНТАЙ-РМ""",2536347375,,"Адрес: 690001, ПРИМОРСКИЙ КРАЙ, Г.О. ВЛАДИВОСТОКСКИЙ, Г. ВЛАДИВОСТОК, УЛ. ПУШКИНСКАЯ, Д. 87, ОФИС 15В","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУССКАЯ РЫБОПРОМЫШЛЕННАЯ КОМПАНИЯ""",https://www.audit-it.ru/contragent/1242500026625_ooo-mintay-rm
Сигма-Марин,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕЛЬДЬ-Т""",2536347382,,"Адрес: 680038, Хабаровский край, г Хабаровск, ул Серышева, д 34, офис 19/1",Рекасов Владимир Васильевич,https://www.audit-it.ru/contragent/1242500026647_ooo-seld-t
ГК РРПК,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИНТАЙ-И""",2536347390,,"Адрес: 683042, Камчатский край, г Петропавловск-Камчатский, ул Ларина, д 16, кв 39",Тарусов Сергей Борисович,
ГК РРПК,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИНТАЙ-Д""",2536347400,,"Адрес: 690001, ПРИМОРСКИЙ КРАЙ, Г.О. ВЛАДИВОСТОКСКИЙ, Г. ВЛАДИВОСТОК, УЛ. ПУШКИНСКАЯ, Д. 87, ОФИС 15А","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУССКАЯ РЫБОПРОМЫШЛЕННАЯ КОМПАНИЯ""",
ГК РРПК,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИНТРАРОС""",2537008664,,"Адрес: 690001, Приморский край, г Владивосток, Ленинский р-н, ул Пушкинская, д 87","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУССКАЯ РЫБОПРОМЫШЛЕННАЯ КОМПАНИЯ""",https://www.audit-it.ru/contragent/1022501800364_ao-intraros
ГК Гидрострой,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АКВАТЕХНОЛОГИИ""",2537042030,,"Адрес: 692435, Приморский край, г Дальнегорск, село Каменка, ул Комсомольская, д 13",Слепченко Сергей Владимирович,https://www.audit-it.ru/contragent/1022501801673_ooo-akvatekhnologii
Миккор,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОЧКА ОМЕГА""",2537143374,,"Адрес: 690012, Приморский край, г Владивосток, Первомайский р-н, ул Калинина, д 231",Лифанов Герман Германович,
Миккор,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОРСКАЯ СУДОХОДНАЯ КОМПАНИЯ ""ВОСТОКТРАНССЕРВИС""",2538003718,Транспорт,"Адрес: 690033, Приморский край, г Владивосток, Первореченский р-н, ул Гамарника, д 5, офис 49",Ребиков Владимир Михайлович,
ГК РРПК,"Проверка контрагента по ИНН – больше, чем выписка из ЕГРЮЛ",2538021453,,,,https://www.audit-it.ru/contragent/?search=2538021453&token=329626bc4bf2d3c17e3c53e9a7b207e5
ГК РРПК,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДМП-РМ""",2540199962,,"Адрес: 690001, Приморский край, г Владивосток, Ленинский р-н, ул Пушкинская, д 109, офис 301","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУССКАЯ РЫБОПРОМЫШЛЕННАЯ КОМПАНИЯ""",
ДРУК,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕАЛ ДЕВЕЛОПМЕНТ""",2540212733,,"Адрес: 690090, ПРИМОРСКИЙ КРАЙ, Г.О. ВЛАДИВОСТОКСКИЙ, Г. ВЛАДИВОСТОК, УЛ. ТИГРОВАЯ, Д. 7, ОФИС 710","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДАЛЬНЕВОСТОЧНАЯ РЫБОПРОМЫШЛЕННАЯ УПРАВЛЯЮЩАЯ КОМПАНИЯ""",https://www.audit-it.ru/contragent/1152540005067_ooo-real-development
ДРУК,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КРАБ МАРИН""",2540227955,,"Адрес: 690035, ПРИМОРСКИЙ КРАЙ, Г.О. ВЛАДИВОСТОКСКИЙ, Г. ВЛАДИВОСТОК, УЛ. КАЛИНИНА, Д. 6В","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДАЛЬНЕВОСТОЧНАЯ РЫБОПРОМЫШЛЕННАЯ УПРАВЛЯЮЩАЯ КОМПАНИЯ""",https://www.audit-it.ru/contragent/1172536016355_ooo-krab-marin
ГК УТРФ,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭБИСУ""",2540229670,"[ИИ, high]: Компания связана с ГК УТРФ через несколько связанных компаний, таких как ООО ""МОРСКОЙ БРИЗ"" и АО ""УТРФ-ПАЛТУС"".","Адрес: 690001, Приморский край, г Владивосток, Ленинский р-н, ул Светланская, д 78Б, помещ 605",Андропов Алексей Владимирович,
НБАМР,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАЛЬМАР-1""",2540288411,,"Адрес: 690090, ПРИМОРСКИЙ КРАЙ, Г.О. ВЛАДИВОСТОКСКИЙ, Г. ВЛАДИВОСТОК, УЛ. АВРОРОВСКАЯ, ЗД. 10, КАБ. 210",Селезнев Степан Владимирович,
ГК Гидрострой,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕЛЬДЬ 1""",2540291083,,"Адрес: 690090, ПРИМОРСКИЙ КРАЙ, Г.О. ВЛАДИВОСТОКСКИЙ, Г ВЛАДИВОСТОК, УЛ АВРОРОВСКАЯ, ЗД. 10, КАБ. 211",Налабордин Сергей Иванович,
ГК Гидрострой (Далькреветка),"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРИЕРА""",2543105698,,"Адрес: 690039, Приморский край, г Владивосток, Советский р-н, ул Енисейская, д 23Д, офис 700",Загидулин Александр Ранатович,
ГК УТРФ,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗВЕЗДА ВОСТОКА""",2543108709,"[ИИ, high]: Компания связана с ГК УТРФ через несколько связанных компаний, таких как ООО ""МОРСКОЙ БРИЗ"" и АО ""УТРФ-ПАЛТУС"".","Адрес: 690001, ПРИМОРСКИЙ КРАЙ, Г.О. ВЛАДИВОСТОКСКИЙ, Г ВЛАДИВОСТОК, УЛ СВЕТЛАНСКАЯ, Д. 78Б, ПОМЕЩ. 605",Луканин Алексей Александрович,
ГК Гидрострой,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СВЕТЛОЕ МОРЕ""",2543142322,,"Адрес: 690022, ПРИМОРСКИЙ КРАЙ, Г.О. ВЛАДИВОСТОКСКИЙ, Г ВЛАДИВОСТОК, УЛ ЛЕСНАЯ, ЗД. 19Г, ОФИС 1",Кравцов Алексей Александрович,
ГК Гидрострой,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕВЕРО-ОХОТСКАЯ СЕЛЬДЕВАЯ КОМПАНИЯ""",2543142330,,"Адрес: 681008, Хабаровский край, г Комсомольск-на-Амуре, Александровский пер, д 7",Макаров Сергей Владимирович,https://www.audit-it.ru/contragent/1192724018288_ooo-severo-okhotskaya-seldevaya-kompaniya
ГК Антей,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АНТЕЙ-ИНВЕСТ""",2543159397,,"Адрес: 690039, Приморский край, г Владивосток, Советский р-н, ул Енисейская, д 23Д, офис 5017",Поломарь Андрей Михайлович,https://www.audit-it.ru/contragent/1212500018686_ooo-antey-invest
ГК Гидрострой,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАРИНИСТ""",2543160138,,"Адрес: 693020, САХАЛИНСКАЯ ОБЛАСТЬ, Г.О. ГОРОД ЮЖНО-САХАЛИНСК, Г ЮЖНО-САХАЛИНСК, УЛ ИМЕНИ Ф.Э.ДЗЕРЖИНСКОГО, Д. 21",Дядинкин Денис Юрьевич,
ГК Гидрострой,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОДФИШ""",2543160427,,"Адрес: 681021, ХАБАРОВСКИЙ КРАЙ, Г.О. ГОРОД КОМСОМОЛЬСК-НА-АМУРЕ, Г КОМСОМОЛЬСК-НА-АМУРЕ, ПР-КТ ОКТЯБРЬСКИЙ, Д. 33, ОФИС 418",Макаров Сергей Владимирович,https://www.audit-it.ru/contragent/1212500022701_ooo-kodfish
